FIP,County,_0to9,_10to19,_20to29,_30to39,_40to49,_50to59,_60to69,_70to79,_80up,POPSIZE
13133,"Greene County, Georgia",0.10204870506378044,0.09481473300568778,0.0881881937158319,0.10088906068805566,0.09569827157766857,0.12606990998950798,0.17367055055497266,0.14594952785907558,0.0726710475454194,18109.0
13135,"Gwinnett County, Georgia",0.13772977224203853,0.15463156297485195,0.13086839535037795,0.13612689646918524,0.14735343838224954,0.1340196491198075,0.08908569828748752,0.04331932063713243,0.02686526653686935,935818.0
13137,"Habersham County, Georgia",0.11669480154092543,0.1322339090161451,0.1291390728476821,0.11872916937194306,0.12245162965848592,0.12394494221529673,0.1161537462667186,0.08282474137557892,0.05782798770722417,46206.0
13139,"Hall County, Georgia",0.1309951147759762,0.14395094319405005,0.13081977273723536,0.123085240583889,0.12863286786516198,0.12547184055563942,0.10122106247534253,0.0681885706214414,0.047634587191264066,205313.0
13141,"Hancock County, Georgia",0.07694098475148411,0.0893958794086835,0.13525782795949248,0.11546967756954953,0.10895122802933302,0.1418926783843557,0.1517867535793272,0.09963915725759516,0.08066581306017925,8591.0
13143,"Haralson County, Georgia",0.12497499166388795,0.13234411470490162,0.1215405135045015,0.12034011337112373,0.13161053684561522,0.13571190396798932,0.10960320106702234,0.07389129709903301,0.04998332777592531,29990.0
13145,"Harris County, Georgia",0.103654883163571,0.12947587662986104,0.10354075722559844,0.10682187794230934,0.1320437102342435,0.1510456789066735,0.13894832948158292,0.08476704042911352,0.0497018459870467,35049.0
13147,"Hart County, Georgia",0.10685106064013193,0.1179072033580691,0.11292256952252455,0.10493965969567498,0.1154711041151338,0.13698373435274716,0.13402293681133348,0.10010493965969568,0.0707967918446893,26682.0
13149,"Heard County, Georgia",0.1158112582781457,0.13021523178807948,0.12450331125827815,0.1086092715231788,0.1240066225165563,0.1427980132450331,0.12491721854304635,0.07822847682119205,0.05091059602649007,12080.0
13151,"Henry County, Georgia",0.12308116159137675,0.15832407813966304,0.12890547649180809,0.12329639865347695,0.14728672159516493,0.14106206575922722,0.0956384361736016,0.0528450034868404,0.029560658108841082,232302.0
13153,"Houston County, Georgia",0.1363405304426286,0.1393968661439337,0.13566063871697442,0.14322205136677302,0.12166884825070848,0.1316321213892666,0.09683691494363887,0.05532539490907242,0.039916633837003904,157378.0
13155,"Irwin County, Georgia",0.10417098983191532,0.12637476654907656,0.1372691429757211,0.12533720688939615,0.1281386179705333,0.12253579580825898,0.1038597219340112,0.08113716538700975,0.07117659265407761,9638.0
13157,"Jackson County, Georgia",0.13506610155219356,0.1370028349285654,0.11804249585988155,0.13513627305133746,0.13614674263900975,0.1294944845201673,0.10078030707048026,0.07004519044544867,0.03828556993291605,71254.0
